Type of livestock,Region,Year,value
Cattle,            Ulaanbaatar,1982,27.8
Cattle,            Ulaanbaatar,1981,26.3
Cattle,            Ulaanbaatar,1980,25.3
Cattle,            Ulaanbaatar,1979,13.7
Cattle,            Ulaanbaatar,1978,29.4
Cattle,            Ulaanbaatar,1977,27.6
Cattle,            Ulaanbaatar,1976,27.6
Cattle,            Ulaanbaatar,1975,27.7
Cattle,            Ulaanbaatar,1974,26.6
Cattle,            Ulaanbaatar,1973,23.8
Cattle,            Ulaanbaatar,1972,15.4
Cattle,            Ulaanbaatar,1971,15.6
Cattle,            Ulaanbaatar,1970,13.8
Camel,Total,2024,480.6
Camel,Total,2023,473.9
Camel,Total,2022,470.5
Camel,Total,2021,454.0
Camel,Total,2020,472.9
Camel,Total,2019,472.4
Camel,Total,2018,459.7
Camel,Total,2017,434.1
Camel,Total,2016,401.3
Camel,Total,2015,368.0
Camel,Total,2014,349.3
Camel,Total,2013,321.5
Camel,Total,2012,305.8
Camel,Total,2011,280.1
Camel,Total,2010,269.6
Camel,Total,2009,277.1
Camel,Total,2008,266.4
Camel,Total,2007,260.6
Camel,Total,2006,253.3
Camel,Total,2005,254.2
Camel,Total,2004,256.6
Camel,Total,2003,256.7
Camel,Total,2002,253.1
Camel,Total,2001,285.2
Camel,Total,2000,322.9
Camel,Total,1999,355.6
Camel,Total,1998,356.5
Camel,Total,1997,355.4
Camel,Total,1996,357.9
Camel,Total,1995,367.5
Camel,Total,1994,366.1
Camel,Total,1993,363.0
Camel,Total,1992,415.2
Camel,Total,1991,476.0
Camel,Total,1990,537.5
Camel,Total,1989,558.3
Camel,Total,1988,552.9
Camel,Total,1987,546.6
Camel,Total,1986,551.0
Camel,Total,1985,559.0
Camel,Total,1984,568.2
Camel,Total,1983,578.0
Camel,Total,1982,584.7
Camel,Total,1981,586.2
Camel,Total,1980,591.5
Camel,Total,1979,616.3
Camel,Total,1978,608.6
Camel,Total,1977,609.0
Camel,Total,1976,607.3
Camel,Total,1975,617.0
Camel,Total,1974,606.6
Camel,Total,1973,602.9
Camel,Total,1972,625.1
Camel,Total,1971,632.0
Camel,Total,1970,633.5
Camel,    Khangai region,2024,76.2
Camel,    Khangai region,2023,71.1
Camel,    Khangai region,2022,66.5
Camel,    Khangai region,2021,66.2
Camel,    Khangai region,2020,83.3
Camel,    Khangai region,2019,92.2
Camel,    Khangai region,2018,90.1
Camel,    Khangai region,2017,84.5
Camel,    Khangai region,2016,77.2
Camel,    Khangai region,2015,68.7
Camel,    Khangai region,2014,64.8
Camel,    Khangai region,2013,58.1
Camel,    Khangai region,2012,53.8
Camel,    Khangai region,2011,47.0
Camel,    Khangai region,2010,45.7
Camel,    Khangai region,2009,45.7
Camel,    Khangai region,2008,42.2
Camel,    Khangai region,2007,39.5
Camel,    Khangai region,2006,36.9
Camel,    Khangai region,2005,36.6
Camel,    Khangai region,2004,35.5
Camel,    Khangai region,2003,35.5
Camel,    Khangai region,2002,33.4
Camel,    Khangai region,2001,43.6
Camel,    Khangai region,2000,54.4
Camel,    Khangai region,1999,59.7
Camel,    Khangai region,1998,59.0
Camel,    Khangai region,1997,58.8
Camel,    Khangai region,1996,59.1
Camel,    Khangai region,1995,61.4
Camel,    Khangai region,1994,59.6
Camel,    Khangai region,1993,57.7
Camel,    Khangai region,1992,60.5
Camel,    Khangai region,1991,71.3
Camel,    Khangai region,1990,79.1
Camel,    Khangai region,1989,80.2
Camel,    Khangai region,1988,79.8
Camel,    Khangai region,1987,81.1
Camel,    Khangai region,1986,81.7
Camel,    Khangai region,1985,82.6
Camel,    Khangai region,1984,88.3
Camel,    Khangai region,1983,93.9
Camel,    Khangai region,1982,93.9
Camel,    Khangai region,1981,93.2
Camel,    Khangai region,1980,93.0
Camel,    Khangai region,1979,98.4
Camel,    Khangai region,1978,98.5
Camel,    Khangai region,1977,99.6
Camel,    Khangai region,1976,98.7
Camel,    Khangai region,1975,97.9
Camel,    Khangai region,1974,96.2
Camel,    Khangai region,1973,96.1
Camel,    Khangai region,1972,93.9
Camel,    Khangai region,1971,94.6
Camel,    Khangai region,1970,99.8
Camel,            Arkhangai,2024,1.6
Camel,            Arkhangai,2023,1.5
Camel,            Arkhangai,2022,1.7
Camel,            Arkhangai,2021,1.7
Camel,            Arkhangai,2020,1.3
Camel,            Arkhangai,2019,1.4
Camel,            Arkhangai,2018,1.3
Camel,            Arkhangai,2017,1.4
Camel,            Arkhangai,2016,1.2
Camel,            Arkhangai,2015,1.1
Camel,            Arkhangai,2014,1.2
Camel,            Arkhangai,2013,1.1
Camel,            Arkhangai,2012,1.1
Camel,            Arkhangai,2011,0.9
Camel,            Arkhangai,2010,0.9
Camel,            Arkhangai,2009,0.8
Camel,            Arkhangai,2008,0.7
Camel,            Arkhangai,2007,0.8
Camel,            Arkhangai,2006,0.8
Camel,            Arkhangai,2005,0.7
Camel,            Arkhangai,2004,0.7
Camel,            Arkhangai,2003,0.7
Camel,            Arkhangai,2002,0.7
Camel,            Arkhangai,2001,0.6
Camel,            Arkhangai,2000,0.8
Camel,            Arkhangai,1999,0.8
Camel,            Arkhangai,1998,0.8
Camel,            Arkhangai,1997,0.8
Camel,            Arkhangai,1996,0.8
Camel,            Arkhangai,1995,0.9
Camel,            Arkhangai,1994,1.0
Camel,            Arkhangai,1993,1.0
Camel,            Arkhangai,1992,1.2
Camel,            Arkhangai,1991,1.7
Camel,            Arkhangai,1990,2.3
Camel,            Arkhangai,1989,2.3
Camel,            Arkhangai,1988,2.2
Camel,            Arkhangai,1987,2.2
Camel,            Arkhangai,1986,2.1
Camel,            Arkhangai,1985,2.1
Camel,            Arkhangai,1984,2.1
Camel,            Arkhangai,1983,2.1
Camel,            Arkhangai,1982,2.3
Camel,            Arkhangai,1981,2.1
Camel,            Arkhangai,1980,2.1
Camel,            Arkhangai,1979,2.1
Camel,            Arkhangai,1978,2.0
Camel,            Arkhangai,1977,2.0
Camel,            Arkhangai,1976,2.2
Camel,            Arkhangai,1975,2.6
Camel,            Arkhangai,1974,2.7
Camel,            Arkhangai,1973,2.7
Camel,            Arkhangai,1972,2.8
Camel,            Arkhangai,1971,3.0
Camel,            Arkhangai,1970,3.1
Camel,            Bayankhongor,2024,52.6
Camel,            Bayankhongor,2023,48.9
Camel,            Bayankhongor,2022,45.5
Camel,            Bayankhongor,2021,45.5
Camel,            Bayankhongor,2020,55.5
Camel,            Bayankhongor,2019,58.1
Camel,            Bayankhongor,2018,57.4
Camel,            Bayankhongor,2017,54.3
Camel,            Bayankhongor,2016,49.7
Camel,            Bayankhongor,2015,44.5
Camel,            Bayankhongor,2014,41.7
Camel,            Bayankhongor,2013,37.2
Camel,            Bayankhongor,2012,34.5
Camel,            Bayankhongor,2011,30.3
Camel,            Bayankhongor,2010,30.1
Camel,            Bayankhongor,2009,29.7
Camel,            Bayankhongor,2008,27.4
Camel,            Bayankhongor,2007,25.2
Camel,            Bayankhongor,2006,23.1
Camel,            Bayankhongor,2005,22.8
Camel,            Bayankhongor,2004,21.0
Camel,            Bayankhongor,2003,20.7
Camel,            Bayankhongor,2002,19.4
Camel,            Bayankhongor,2001,28.2
Camel,            Bayankhongor,2000,37.1
Camel,            Bayankhongor,1999,39.5
Camel,            Bayankhongor,1998,38.7
Camel,            Bayankhongor,1997,38.8
Camel,            Bayankhongor,1996,38.7
Camel,            Bayankhongor,1995,39.7
Camel,            Bayankhongor,1994,37.9
Camel,            Bayankhongor,1993,35.7
Camel,            Bayankhongor,1992,37.7
Camel,            Bayankhongor,1991,41.8
Camel,            Bayankhongor,1990,45.4
Camel,            Bayankhongor,1989,46.2
Camel,            Bayankhongor,1988,46.8
Camel,            Bayankhongor,1987,48.3
Camel,            Bayankhongor,1986,49.4
Camel,            Bayankhongor,1985,50.4
Camel,            Bayankhongor,1984,52.8
Camel,            Bayankhongor,1983,56.8
Camel,            Bayankhongor,1982,56.5
Camel,            Bayankhongor,1981,55.9
Camel,            Bayankhongor,1980,55.5
Camel,            Bayankhongor,1979,57.8
Camel,            Bayankhongor,1978,58.3
Camel,            Bayankhongor,1977,58.9
Camel,            Bayankhongor,1976,58.6
Camel,            Bayankhongor,1975,57.8
Camel,            Bayankhongor,1974,56.6
Camel,            Bayankhongor,1973,56.5
Camel,            Bayankhongor,1972,54.8
Camel,            Bayankhongor,1971,54.9
Camel,            Bayankhongor,1970,57.6
Camel,            Uvurkhangai,2024,22.0
Camel,            Uvurkhangai,2023,20.7
Camel,            Uvurkhangai,2022,19.3
Camel,            Uvurkhangai,2021,19.0
Camel,            Uvurkhangai,2020,26.6
Camel,            Uvurkhangai,2019,32.7
Camel,            Uvurkhangai,2018,31.5
Camel,            Uvurkhangai,2017,28.8
Camel,            Uvurkhangai,2016,26.3
Camel,            Uvurkhangai,2015,23.1
Camel,            Uvurkhangai,2014,22.0
Camel,            Uvurkhangai,2013,19.7
Camel,            Uvurkhangai,2012,18.1
Camel,            Uvurkhangai,2011,15.9
Camel,            Uvurkhangai,2010,14.7
Camel,            Uvurkhangai,2009,15.2
Camel,            Uvurkhangai,2008,14.1
Camel,            Uvurkhangai,2007,13.5
Camel,            Uvurkhangai,2006,13.0
Camel,            Uvurkhangai,2005,13.1
Camel,            Uvurkhangai,2004,13.8
Camel,            Uvurkhangai,2003,14.0
Camel,            Uvurkhangai,2002,13.3
Camel,            Uvurkhangai,2001,14.7
Camel,            Uvurkhangai,2000,16.5
Camel,            Uvurkhangai,1999,19.3
Camel,            Uvurkhangai,1998,19.5
Camel,            Uvurkhangai,1997,19.2
Camel,            Uvurkhangai,1996,19.6
Camel,            Uvurkhangai,1995,20.9
Camel,            Uvurkhangai,1994,20.8
Camel,            Uvurkhangai,1993,21.0
Camel,            Uvurkhangai,1992,21.6
Camel,            Uvurkhangai,1991,27.7
Camel,            Uvurkhangai,1990,31.4
Camel,            Uvurkhangai,1989,31.7
Camel,            Uvurkhangai,1988,30.7
Camel,            Uvurkhangai,1987,30.6
Camel,            Uvurkhangai,1986,30.2
Camel,            Uvurkhangai,1985,30.1
Camel,            Uvurkhangai,1984,33.4
Camel,            Uvurkhangai,1983,35.0
Camel,            Uvurkhangai,1982,35.2
Camel,            Uvurkhangai,1981,35.1
Camel,            Uvurkhangai,1980,35.4
Camel,            Uvurkhangai,1979,38.6
Camel,            Uvurkhangai,1978,38.2
Camel,            Uvurkhangai,1977,38.7
Camel,            Uvurkhangai,1976,37.9
Camel,            Uvurkhangai,1975,37.5
Camel,            Uvurkhangai,1974,37.0
Camel,            Uvurkhangai,1973,36.9
Camel,            Uvurkhangai,1972,36.3
Camel,            Uvurkhangai,1971,36.7
Camel,            Uvurkhangai,1970,39.2
Camel,    Western region,2024,127.3
Camel,    Western region,2023,118.9
Camel,    Western region,2022,117.0
Camel,    Western region,2021,111.9
Camel,    Western region,2020,108.6
Camel,    Western region,2019,109.8
Camel,    Western region,2018,107.6
Camel,    Western region,2017,103.9
Camel,    Western region,2016,96.2
Camel,    Western region,2015,88.6
Camel,    Western region,2014,84.1
Camel,    Western region,2013,77.8
Camel,    Western region,2012,74.3
Camel,    Western region,2011,67.6
Camel,    Western region,2010,64.8
Camel,    Western region,2009,70.9
Camel,    Western region,2008,71.3
Camel,    Western region,2007,73.1
Camel,    Western region,2006,70.6
Camel,    Western region,2005,68.2
Camel,    Western region,2004,68.1
Camel,    Western region,2003,69.0
Camel,    Western region,2002,66.8
Camel,    Western region,2001,78.9
Camel,    Western region,2000,88.8
Camel,    Western region,1999,100.9
Camel,    Western region,1998,103.9
Camel,    Western region,1997,106.2
Camel,    Western region,1996,110.0
Camel,    Western region,1995,114.1
Camel,    Western region,1994,112.3
Camel,    Western region,1993,110.6
Camel,    Western region,1992,119.6
Camel,    Western region,1991,136.4
Camel,    Western region,1990,155.5
Camel,    Western region,1989,158.7
Camel,    Western region,1988,158.4
Camel,    Western region,1987,156.2
Camel,    Western region,1986,154.1
Camel,    Western region,1985,153.0
Camel,    Western region,1984,151.2
Camel,    Western region,1983,153.9
Camel,    Western region,1982,159.7
Camel,    Western region,1981,162.7
Camel,    Western region,1980,164.1
Camel,    Western region,1979,164.4
Camel,    Western region,1978,163.3
Camel,    Western region,1977,166.5
Camel,    Western region,1976,168.2
Camel,    Western region,1975,169.5
Camel,    Western region,1974,171.6
Camel,    Western region,1973,173.0
Camel,    Western region,1972,171.5
Camel,    Western region,1971,173.2
Camel,    Western region,1970,169.1
Camel,            Bayan-Ulgii,2024,6.7
Camel,            Bayan-Ulgii,2023,6.2
Camel,            Bayan-Ulgii,2022,6.1
Camel,            Bayan-Ulgii,2021,5.9
Camel,            Bayan-Ulgii,2020,5.4
Camel,            Bayan-Ulgii,2019,5.9
Camel,            Bayan-Ulgii,2018,5.6
Camel,            Bayan-Ulgii,2017,5.3
Camel,            Bayan-Ulgii,2016,4.9
Camel,            Bayan-Ulgii,2015,4.7
Camel,            Bayan-Ulgii,2014,4.7
Camel,            Bayan-Ulgii,2013,4.3
Camel,            Bayan-Ulgii,2012,4.2
Camel,            Bayan-Ulgii,2011,4.0
Camel,            Bayan-Ulgii,2010,3.8
Camel,            Bayan-Ulgii,2009,3.9
Camel,            Bayan-Ulgii,2008,4.0
Camel,            Bayan-Ulgii,2007,4.3
Camel,            Bayan-Ulgii,2006,4.3
Camel,            Bayan-Ulgii,2005,4.3
Camel,            Bayan-Ulgii,2004,4.8
Camel,            Bayan-Ulgii,2003,5.6
Camel,            Bayan-Ulgii,2002,5.9
Camel,            Bayan-Ulgii,2001,6.4
Camel,            Bayan-Ulgii,2000,7.0
Camel,            Bayan-Ulgii,1999,8.0
Camel,            Bayan-Ulgii,1998,8.2
Camel,            Bayan-Ulgii,1997,8.5
Camel,            Bayan-Ulgii,1996,8.4
Camel,            Bayan-Ulgii,1995,8.5
Camel,            Bayan-Ulgii,1994,7.9
Camel,            Bayan-Ulgii,1993,7.2
Camel,            Bayan-Ulgii,1992,7.6
Camel,            Bayan-Ulgii,1991,8.9
Camel,            Bayan-Ulgii,1990,10.4
Camel,            Bayan-Ulgii,1989,10.5
Camel,            Bayan-Ulgii,1988,10.4
Camel,            Bayan-Ulgii,1987,10.6
Camel,            Bayan-Ulgii,1986,10.7
Camel,            Bayan-Ulgii,1985,10.7
Camel,            Bayan-Ulgii,1984,10.4
Camel,            Bayan-Ulgii,1983,10.5
Camel,            Bayan-Ulgii,1982,11.0
Camel,            Bayan-Ulgii,1981,11.1
Camel,            Bayan-Ulgii,1980,11.0
Camel,            Bayan-Ulgii,1979,11.2
Camel,            Bayan-Ulgii,1978,11.4
Camel,            Bayan-Ulgii,1977,12.3
Camel,            Bayan-Ulgii,1976,12.9
Camel,            Bayan-Ulgii,1975,13.3
Camel,            Bayan-Ulgii,1974,14.4
Camel,            Bayan-Ulgii,1973,14.6
Camel,            Bayan-Ulgii,1972,14.4
Camel,            Bayan-Ulgii,1971,14.5
Camel,            Bayan-Ulgii,1970,14.6
Camel,            Govi-Altai,2024,50.1
Camel,            Govi-Altai,2023,47.4
Camel,            Govi-Altai,2022,45.4
Camel,            Govi-Altai,2021,43.7
Camel,            Govi-Altai,2020,43.9
Camel,            Govi-Altai,2019,44.4
Camel,            Govi-Altai,2018,43.7
Camel,            Govi-Altai,2017,42.0
Camel,            Govi-Altai,2016,38.5
Camel,            Govi-Altai,2015,34.7
Camel,            Govi-Altai,2014,32.8
Camel,            Govi-Altai,2013,30.4
Camel,            Govi-Altai,2012,28.2
Camel,            Govi-Altai,2011,25.2
Camel,            Govi-Altai,2010,24.3
Camel,            Govi-Altai,2009,26.9
Camel,            Govi-Altai,2008,27.0
Camel,            Govi-Altai,2007,27.3
Camel,            Govi-Altai,2006,26.0
Camel,            Govi-Altai,2005,25.0
Camel,            Govi-Altai,2004,24.5
Camel,            Govi-Altai,2003,23.9
Camel,            Govi-Altai,2002,22.3
Camel,            Govi-Altai,2001,28.3
Camel,            Govi-Altai,2000,31.8
Camel,            Govi-Altai,1999,34.5
Camel,            Govi-Altai,1998,35.3
Camel,            Govi-Altai,1997,36.9
Camel,            Govi-Altai,1996,38.6
Camel,            Govi-Altai,1995,40.3
Camel,            Govi-Altai,1994,39.6
Camel,            Govi-Altai,1993,39.1
Camel,            Govi-Altai,1992,43.3
Camel,            Govi-Altai,1991,47.6
Camel,            Govi-Altai,1990,52.1
Camel,            Govi-Altai,1989,53.3
Camel,            Govi-Altai,1988,52.9
Camel,            Govi-Altai,1987,52.2
Camel,            Govi-Altai,1986,50.9
Camel,            Govi-Altai,1985,51.2
Camel,            Govi-Altai,1984,50.6
Camel,            Govi-Altai,1983,51.5
Camel,            Govi-Altai,1982,53.3
Camel,            Govi-Altai,1981,54.6
Camel,            Govi-Altai,1980,54.8
Camel,            Govi-Altai,1979,54.3
Camel,            Govi-Altai,1978,54.3
Camel,            Govi-Altai,1977,55.5
Camel,            Govi-Altai,1976,54.5
Camel,            Govi-Altai,1975,54.2
Camel,            Govi-Altai,1974,53.8
Camel,            Govi-Altai,1973,53.6
Camel,            Govi-Altai,1972,52.9
Camel,            Govi-Altai,1971,52.7
Camel,            Govi-Altai,1970,51.6
Camel,            Zavkhan,2024,9.0
Camel,            Zavkhan,2023,8.7
Camel,            Zavkhan,2022,8.7
Camel,            Zavkhan,2021,8.3
Camel,            Zavkhan,2020,8.1
Camel,            Zavkhan,2019,8.0
Camel,            Zavkhan,2018,7.8
Camel,            Zavkhan,2017,7.5
Camel,            Zavkhan,2016,6.9
Camel,            Zavkhan,2015,6.7
Camel,            Zavkhan,2014,6.6
Camel,            Zavkhan,2013,6.3
Camel,            Zavkhan,2012,6.4
Camel,            Zavkhan,2011,6.2
Camel,            Zavkhan,2010,5.8
Camel,            Zavkhan,2009,6.6
Camel,            Zavkhan,2008,6.6
Camel,            Zavkhan,2007,6.9
Camel,            Zavkhan,2006,6.6
Camel,            Zavkhan,2005,6.3
Camel,            Zavkhan,2004,6.4
Camel,            Zavkhan,2003,7.1
Camel,            Zavkhan,2002,7.1
Camel,            Zavkhan,2001,7.9
Camel,            Zavkhan,2000,8.7
Camel,            Zavkhan,1999,10.8
Camel,            Zavkhan,1998,11.1
Camel,            Zavkhan,1997,10.8
Camel,            Zavkhan,1996,11.1
Camel,            Zavkhan,1995,11.6
Camel,            Zavkhan,1994,11.3
Camel,            Zavkhan,1993,10.6
Camel,            Zavkhan,1992,11.6
Camel,            Zavkhan,1991,12.7
Camel,            Zavkhan,1990,15.3
Camel,            Zavkhan,1989,15.4
Camel,            Zavkhan,1988,15.2
Camel,            Zavkhan,1987,14.8
Camel,            Zavkhan,1986,14.6
Camel,            Zavkhan,1985,14.3
Camel,            Zavkhan,1984,14.8
Camel,            Zavkhan,1983,15.2
Camel,            Zavkhan,1982,15.9
Camel,            Zavkhan,1981,16.4
Camel,            Zavkhan,1980,16.9
Camel,            Zavkhan,1979,17.4
Camel,            Zavkhan,1978,17.8
Camel,            Zavkhan,1977,18.3
Camel,            Zavkhan,1976,19.5
Camel,            Zavkhan,1975,19.9
Camel,            Zavkhan,1974,20.6
Camel,            Zavkhan,1973,21.4
Camel,            Zavkhan,1972,21.8
Camel,            Zavkhan,1971,22.7
